魚	2	4	11	fish	ギョ	うお, さかな, -ざかな
肉	2	3	6	meat	ニク	しし
野	2	3	11	plains, field, rustic, civilian life	ヤ, ショ	の, の-
菜	4	3	11	vegetable, side dish, greens	サイ	な
鉛	8	1	13	lead	エン	なまり
筆	3	2	12	writing brush, writing, painting brush, handwriting	ヒツ	ふで
傘	8	1	12	umbrella	サン	かさ
靴	8	2	13	shoes	カ	くつ
財	5	2	10	property, money, wealth, assets	ザイ, サイ, ゾク	たから
布	5	2	5	linen, cloth, spread, distribute	フ	ぬの
辞	4	2	13	resign, word, term, expression	ジ	や.める, いな.む
書	2	4	10	write	ショ	か.く, -が.き, -がき
自	2	3	6	oneself	ジ, シ	みずか.ら, おの.ずから, おの.ずと
転	3	3	11	revolve, turn around, change	テン	ころ.がる, ころ.げる, ころ.がす, ころ.ぶ, まろ.ぶ, うたた, うつ.る, くる.めく
車	1	4	7	car	シャ	くるま
新	2	4	13	new	シン	あたら.しい, あら.た, あら-, にい-
聞	2	4	14	hear, ask, listen	ブン, モン	き.く, き.こえる
時	2	4	10	time, hour	ジ	とき, -どき
計	2	3	9	plot, plan, scheme, measure	ケイ	はか.る, はか.らう
帽	8	2	12	cap, headgear	ボウ, モウ	ずきん, おお.う
子	1	4	3	child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac	シ, ス, ツ	こ, -こ, ね
本	1	4	5	book, present, main, origin, true, real, counter for long cylindrical things	ホン	もと
手	1	4	4	hand	シュ, ズ	て, て-, -て, た-
洗	6	3	9	wash, inquire into, probe	セン	あら.う
喫	8	2	12	consume, eat, drink, smoke, receive (a blow)	キツ	の.む
茶	2	3	9	tea	チャ, サ	 
店	2	4	8	store, shop	テン	みせ, たな
銀	3	3	14	silver	ギン	しろがね
行	2	4	6	going, journey, carry out, conduct, act, line, row, bank	コウ, ギョウ, アン	い.く, ゆ.く, -ゆ.き, -ゆき, -い.き, -いき, おこな.う, おこ.なう
図	2	3	7	map, drawing, plan, extraordinary, audacious	ズ, ト	え, はか.る
館	3	3	16	building, mansion, large building, palace	カン	やかた, たて
郵	6	2	11	mail, stagecoach stop	ユウ	 
便	4	3	9	convenience, facility, excrement, feces, letter, chance	ベン, ビン	たよ.り
局	3	2	7	bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment	キョク	つぼね
経	5	2	11	sutra, longitude, pass thru, expire, warp	ケイ, キョウ, キン	へ.る, た.つ, たていと, はか.る, のり
済	6	2	11	settle (debt, etc.), relieve (burden), finish, come to an end, excusable, need not	サイ, セイ	す.む, -ず.み, -ずみ, す.まない, す.ます, -す.ます, すく.う, な.す, わたし, わた.る
円	1	4	4	circle, yen, round	エン	まる.い, まる, まど, まど.か, まろ.やか
高	2	4	10	tall, high, expensive	コウ	たか.い, たか, -だか, たか.まる, たか.める
美	3	2	9	beauty, beautiful	ビ, ミ	うつく.しい
味	3	3	8	flavor, taste	ミ	あじ, あじ.わう
歴	4	2	14	curriculum, continuation, passage of time	レキ, レッキ	 
史	4	2	5	history, chronicle	シ	 
願	4	2	19	petition, request, vow, wish, hope	ガン	ねが.う, -ねがい
下	1	4	3	below, down, descend, give, low, inferior	カ, ゲ	した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる
