0	一	イチ		一[イチ]	one	best, first, foremost, beginning, start
1	一つ	ひとつ		一[ひと]つ	one	for one thing
2	二	ニ		二[ニ]	two	
3	二つ	ふたつ		二[ふた]つ	two (things)	
4	三	サン		三[サン]	three	tri-
5	三つ	みっつ		三[みっ]つ	three (things)	
6	一人	ひとり		一[ひと]人[り]	one person	
7	二人	ふたり		二[ふた]人[り]	two people	pair, couple
8	本人	ホンニン		本[ホン]人[ニン]	the person themself	the person in question
9	入る	はいる		入[はい]る	to enter	to go into
10	入れる	いれる		入[い]れる	to put in	to let in, to take in, to bring in, to insert, to set (a jewel, etc.), to ink in (e.g. a tattoo)
11	火	ひ		火[ひ]	fire	flame, blaze
12	口	くち		口[くち]	mouth	counter for mouthfuls
13	人口	ジンコウ		人[ジン]口[コウ]	population	
14	入口	いりぐち		入[いり]口[ぐち]	entrance	entry, gate, approach, mouth
15	回る	まわる		回[まわ]る	to turn	to revolve
16	日	ひ		日[ひ]	day	sun
17	一日	イチニチ		一[イチ]日[ニチ]	one day	
18	二日	ふつか		二[ふつ]日[か]	the second day of the month	
19	三日	みっか		三[みっ]日[か]	the third day of the month	
20	日本	ニホン・ニッポン		日[ニ]本[ホン]	Japan	
21	白	しろ		白[しろ]	white	
22	白い	しろい		白[しろ]い	white	
23	白人	ハクジン		白[ハク]人[ジン]	white person	Caucasian
24	月	つき		月[つき]	moon	month
25	一月	イチガツ	ひとつき	一[イチ]月[ガツ]	January	
27	目	め		目[め]	eye	eyeball, ordinal number suffix
28	自ら	みずから		自[みずか]ら	oneself	
29	耳	みみ		耳[みみ]	ear	
30	見る	みる		見[み]る	to see	to look, to watch, to view, to observe, to try, to try out, to test
31	見せる	みせる		見[み]せる	to show	to display
32	見つかる	みつかる		見[み]つかる	to be found	to be discovered
33	見える	みえる		見[み]える	to be seen	to be in sight
34	四	シ	よん	四[シ]	four	
36	四つ	よっつ		四[よっ]つ	four (things)	
37	四日	よっか		四[よっ]日[か]	the fourth day of the month	
38	五	ゴ		五[ゴ]	five	
39	五つ	いつつ		五[いつ]つ	five (things)	
40	五日	いつか		五[いつ]日[か]	the fifth day of the month	
41	六	ロク		六[ロク]	six	
42	六つ	むっつ		六[むっ]つ	six (things)	
43	六日	むいか		六[むい]日[か]	the sixth day of the month	
44	七	シチ	なな	七[シチ]	seven	
46	七つ	ななつ		七[なな]つ	seven (things)	
47	七日	なのか		七[なの]日[か]	the seventh day of the month	
48	七月	シチガツ		七[シチ]月[ガツ]	July	
49	八	ハチ		八[ハチ]	eight	
50	八つ	やっつ		八[やっ]つ	eight (things)	
51	八日	ようか		八[よう]日[か]	the eighth day of the month	
52	九	キュウ		九[キュウ]	nine	
53	九つ	ここのつ		九[ここの]つ	nine (things)	
54	九日	ここのか		九[ここの]日[か]	the ninth day of the month	
55	丸い	まるい		丸[まる]い	round (spherical)	harmonious, calm
56	丸で	まるで		丸[まる]で	quite	entirely, completely, at all, as if, as though, just like
57	日の丸	ひのまる		日[ひ]の丸[まる]	the sun represented as a red circle	
58	一丸	イチガン		一[イチ]丸[ガン]	lump	(into) one
59	力	ちから		力[ちから]	force	strength, might, vigor, energy
60	刀	かたな		刀[かたな]	(single-edged) sword	katana
61	自分	ジブン		自[ジ]分[ブン]	myself	yourself, oneself
62	分かる	わかる		分[わ]かる	to understand	to comprehend, to grasp, to see, to get, to follow
63	切る	きる		切[き]る	to cut	to cut through, to perform (surgery), to finish, to complete
64	一切	イッサイ		一[イッ]切[サイ]	all	everything, the whole, lock, stock, and barrel, absolutely not (with negative), without exception, entirely not
65	十	ジュウ		十[ジュウ]	ten	
66	十分	ジュウブン		十[ジュウ]分[ブン]	plenty	enough, sufficient, satisfactory, adequate, division into ten, perfectly, thoroughly, fully, in full
67	十日	とおか		十[とお]日[か]	the tenth day of the month	
68	木	き		木[き]	tree	shrub, bush
69	林	はやし		林[はやし]	woods	forest, copse, thicket
70	森	もり		森[もり]	forest	
71	森林	シンリン		森[シン]林[リン]	forest	woods
72	米	こめ		米[こめ]	(husked grains of) rice	
73	日米	ニチベイ		日[ニチ]米[ベイ]	Japan-America	
74	来月	ライゲツ		来[ライ]月[ゲツ]	next month	
75	来る	くる		来[く]る	to come (spatially or temporally)	to approach, to arrive, to come back, to do ... and come back, to come from, to be caused by, to derive from
76	上げる	あげる		上[あ]げる	to raise	to do up, to do for (the sake of someone else), to complete
77	上	うえ		上[うえ]	above	up, over, suffix indicating higher social standing
78	下げる	さげる		下[さ]げる	to hang	to suspend, to wear (e.g. decoration)
79	下さい	ください		下[くだ]さい	please give me	
80	下	した		下[した]	below	down, under, younger (e.g. sibling), inferiority, one's inferior (i.e. one's junior), trade-in
81	下る	くだる		下[くだ]る	to descend	to go down, to come down
82	下ろす	おろす		下[お]ろす	to take down (e.g. flag	ladder), to launch (e.g. boat), to unload, to let (a person) off, to withdraw (cash), to wear (clothing) for the first time, to fillet (e.g. a fish)
83	中	なか		中[なか]	inside	in
84	日中	ニッチュウ		日[ニッ]中[チュウ]	daytime	during the day, Sino-Japanese
85	仲	なか		仲[なか]	relation	relationship
